Open in Excel for Better user experience.,,,,,,,,,,,,,,,,,,,
Optimal Strategy Training,,,,,,,Random Strategy Training,,,,,,,Menace to Menace Strategy Training,,,,,
Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result
Fri Apr 22 00:34:29 EDT 2022,38,0,26,11, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,37,26,53,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,37,9187,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,39,0,26,12, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,38,26,54,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,38,9188,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,40,0,27,12, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,39,26,55,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,39,9189,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,41,0,28,12, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,40,26,56,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,40,9190,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,42,0,29,12, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,41,27,56,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,41,9191,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,43,0,29,13, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,42,28,56,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,42,9192,191,10656, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,44,0,29,14, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,43,29,56,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,43,9192,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,45,0,29,15, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,44,30,56,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,44,9193,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,46,0,29,16, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,45,31,56,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,45,9194,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,47,0,29,17, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,46,32,56,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,46,9195,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,48,0,30,17, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,47,32,57,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,47,9196,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,49,0,30,18, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,48,33,57,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,48,9197,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,50,0,30,19, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,49,34,57,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,49,9198,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,51,0,31,19, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,50,35,57,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,50,9199,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,52,0,31,20, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,51,36,57,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,51,9200,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,53,0,31,21, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,52,36,58,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,52,9201,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,54,0,32,21, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,53,37,58,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,53,9202,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,55,0,32,22, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,54,38,58,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,54,9203,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,56,0,33,22, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,55,39,58,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,55,9204,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,57,0,33,23, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,56,40,58,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,56,9205,191,10657, MenaceWins
